1 16 5169.600000 5169.600000 5169.600000
2 32 5169.600000 5169.600000 5169.600000
3 48 5169.600000 5169.600000 5169.600000
4 64 5169.600000 5169.600000 5169.600000
5 80 5169.600000 5169.600000 5169.600000
6 96 5169.600000 5169.600000 5169.600000
7 112 5169.600000 5169.600000 5169.600000
8 128 5169.600000 5169.600000 5169.600000
9 144 5169.600000 5169.600000 5169.600000
10 160 5169.600000 5169.600000 5169.600000
11 176 5169.600000 5169.600000 5169.600000
12 192 5169.600000 5169.600000 5169.600000
13 208 5169.600000 5169.600000 5169.600000
14 224 5169.600000 5169.600000 5169.600000
15 240 5169.600000 5169.600000 5169.600000
16 256 5169.600000 5169.600000 5169.600000
17 272 5169.600000 5169.600000 5169.600000
18 288 5169.600000 5169.600000 5169.600000
19 304 5169.600000 5169.600000 5169.600000
20 320 5169.600000 5169.600000 5169.600000
